Last login: Mon Apr 27 02:08:37 on ttys010
/Users/satyamyadav/Desktop/Personal/ATOM/Run\ ATOM.command ; exit;
satyamyadav@Satyams-MacBook-Air ~ % /Users/satyamyadav/Desktop/Personal/ATOM/Run\ ATOM.command ; exit;
=== ATOM bundle launcher self-test (optional) ===
ok /Users/satyamyadav/Desktop/Personal/ATOM/.venv/bin/python
=== Starting ATOM via bundle launcher — leave this window open ===
2026-04-27 02:09:08 | atom.config            | INFO  | Configuration validated successfully
2026-04-27 02:09:08 | atom.memory_governor   | INFO  | MemoryGovernor: registered evictable role 'draft_model' (position 2)
2026-04-27 02:09:08 | atom.memory_governor   | INFO  | MemoryGovernor: registered evictable role 'persona_kv_cache' (position 4)
2026-04-27 02:09:08 | atom.main              | INFO  | V7 intelligence: RAG + prefetch + MemoryGraph + timeline + feedback + system awareness wired
2026-04-27 02:09:08 | atom.main              | INFO  | Local brain ENABLED (agentic mode, tool-use, brain.enabled=true)
2026-04-27 02:09:08 | atom.router            | INFO  | AgentSupervisor attached to Router (parallel=True)
2026-04-27 02:09:08 | atom.obs.error_rate    | INFO  | Error-rate monitor started (threshold=5/60s, poll=10s)
2026-04-27 02:09:08 | atom.main              | INFO  | LLM inference queue enabled (single-slot, coalescing)
2026-04-27 02:09:08 | atom.main              | INFO  | Priority scheduler ON (voice > LLM > background)
2026-04-27 02:09:08 | atom.main              | INFO  | Performance mode request: auto
2026-04-27 02:09:09 | atom.tools             | INFO  | Tool registry confirmation policy merged: 10 extra actions
2026-04-27 02:09:09 | atom.document          | INFO  | Document ingestion: 2 previously-ingested files restored
2026-04-27 02:09:09 | atom.main              | INFO  | Reasoning engine initialized: 73 tools, sandbox, workflows, documents
2026-04-27 02:09:09 | atom.main              | INFO  | ActionExecutor connected: LLM -> security gate -> Router dispatch
2026-04-27 02:09:09 | atom.voice_pipeline    | INFO  | WakeWordEngine bypassed: voice.activation_mode=always_on
2026-04-27 02:09:09 | atom.screen            | INFO  | Screen reader: Apple Vision framework (Neural Engine OCR)
2026-04-27 02:09:09 | atom.main              | INFO  | Screen reader: OCR available (apple_vision)
2026-04-27 02:09:09 | atom.main              | INFO  | VLM captioner ready (path=models/smolvlm-instruct-4bit, repo=mlx-community/SmolVLM-Instruct-4bit)
2026-04-27 02:09:09 | atom.memory_governor   | INFO  | MemoryGovernor: registered evictable role 'smolvlm' (position 0)
2026-04-27 02:09:09 | atom.router            | INFO  | VisionEngine attached to Router (camera ready)
2026-04-27 02:09:09 | atom.main              | INFO  | Vision engine ready: cameras=['MacBook Air Camera [builtin]'], preferred=builtin (MacBook-camera-only policy)
2026-04-27 02:09:09 | atom.security_gateway  | INFO  | SecurityGateway: max_outbound=500, max_rpm=10, audit=True
2026-04-27 02:09:09 | atom.confidence        | INFO  | ConfidenceEngine: threshold=0.45, cloud_abstract_only=True
2026-04-27 02:09:09 | atom.decision_engine   | INFO  | DecisionEngine: followups=True, recommendations=True, structuring=True
2026-04-27 02:09:09 | atom.semantic_cache    | INFO  | SemanticCache: restored 2 entries from data/semantic_cache.db
2026-04-27 02:09:09 | atom.semantic_cache    | INFO  | SemanticCache: max=256, ttl=600s, threshold=0.92, embeddings=True, persistent=True
2026-04-27 02:09:09 | atom.preference_store  | INFO  | PreferenceStore: db=data/atom_memory.db
2026-04-27 02:09:09 | atom.user_memory       | INFO  | User profile loaded (10 keys)
2026-04-27 02:09:09 | core.secure_credentials | INFO  | Credentials loaded successfully
2026-04-27 02:09:09 | atom.cloud.rotating    | INFO  | RotatingCloudClient: slots=4 T1=['groq:openai', 'gemini:gemini'], T2=['cerebras:openai'], T3=['nvidia:openai'] missing_key=['<none>'] cooldown(429/5xx/hard)=60/30/300s soft_rpm=25
2026-04-27 02:09:09 | atom.cloud.rotating    | INFO  | RotatingOpenAIClient: groq key configured
2026-04-27 02:09:09 | atom.cloud.rotating    | INFO  | RotatingOpenAIClient: gemini key configured
2026-04-27 02:09:09 | atom.cloud.rotating    | INFO  | RotatingOpenAIClient: cerebras key configured
2026-04-27 02:09:09 | atom.cloud.rotating    | INFO  | RotatingOpenAIClient: nvidia key configured
2026-04-27 02:09:09 | atom.main              | INFO  | Cloud provider=rotating: 4 slot(s) ready ['groq', 'gemini', 'cerebras', 'nvidia'] (tiered round-robin with 429 quarantine + soft RPM)
2026-04-27 02:09:09 | atom.tools.search      | INFO  | SearchTool: max_results=5, timeout=8s
2026-04-27 02:09:09 | atom.cognitive_kernel  | INFO  | CognitiveKernel cloud wired: confidence=True, search=True, gemini=True, sem_cache=True
2026-04-27 02:09:09 | atom.router            | INFO  | Router v22 cloud intelligence wired: gemini=True, search=True, confidence=True, decision=True, sem_cache=True, prefs=True, gateway=True
2026-04-27 02:09:09 | atom.local_brain       | INFO  | Brain v22 cloud intelligence: confidence=True, decision=True, gemini=True, sem_cache=True, prefs=True
2026-04-27 02:09:09 | atom.local_brain       | INFO  | VLM captioner attached to local brain (vision fallback ready)
2026-04-27 02:09:09 | atom.main              | INFO  | Cloud brain router ready: provider=rotating available=True
2026-04-27 02:09:09 | atom.main              | INFO  | v22 Hybrid Intelligence: SecurityGateway + Cloud[rotating](available) + ConfidenceEngine + DecisionEngine + SearchTool + PreferenceStore + SemanticCache(semantic=True, threshold=0.92)
2026-04-27 02:09:09 | atom.auth.voice        | INFO  | Voice auth: MFCC fallback mode (13-d features)
2026-04-27 02:09:09 | atom.security_fortress | INFO  | Session created for Satyam (expires in 86400s)
2026-04-27 02:09:09 | atom.security_fortress | INFO  | Security Fortress initialized: auth=not_enrolled, vault=keychain, integrity=1471 files, sessions=29, audit=191 entries, voice=available, behavior=learning
2026-04-27 02:09:09 | atom.self_healing      | INFO  | Exception tracker installed as global hook
2026-04-27 02:09:09 | atom.self_healing      | INFO  | Startup validation passed (0 warnings)
